ECG_HR,ST1
69,0
68,0
68,0
68,0
68,0
69,0
70,0
71,0
73,0
73,-1
74,-1
74,-1
75,0
76,0
77,0
76,0
76,0
76,0
75,0
74,0
74,0
85,0
85,0
85,0
83,0
82,0
80,0
79,0
79,-1
79,-1
80,-1
83,-1
85,-1
86,-1
86,-1
